Category,Level1,Level2,Level3,Level4,Level5,Level6,Count
Trade,CURR,FXD,FXD,Events,lastContractEventReference,MODFY_UDF,350
Trade,CURR,FXD,FXD,Events,lastContractEventReference,REFRESH,49
Trade,CURR,FXD,FXD,Events,lastContractEventReference,CANCEL,2
Trade,CURR,FXD,FXD,Events,lastContractEventReference,FXNG,1
Trade,CURR,FXD,FXD,Portfolio,HKFXSP_TRAD1_UT,,201
Trade,CURR,FXD,FXD,Portfolio,LOFXSP_AI_UT,,106
Trade,CURR,FXD,FXD,Portfolio,LOFXSP_EMKT_UT,,146
Trade,CURR,FXD,FXD,Portfolio,UTFX_WASH,,2
Trade,CURR,FXD,FXD,Portfolio,UT_CLSIO,,14
Trade,CURR,FXD,FXD,Portfolio,LOFXSP_TRAD2_UT,,1
Trade,CURR,FXD,FXD,Portfolio,HKFX_WASH_UT,,72
Trade,CURR,FXD,FXD,Portfolio,HKFXSP_TRAD2_UT,,1
Trade,CURR,FXD,FXD,Portfolio,NYFXSP_REVAL_UT,,23
Trade,CURR,FXD,FXD,Portfolio,LOFXFW_EFWDS_UT,,4
Trade,CURR,FXD,FXD,Portfolio,UTLBFX_WASH,,7
Trade,CURR,FXD,FXD,Portfolio,NYFX_WASH_UT,,18
Trade,CURR,FXD,FXD,Portfolio,NYFXSP_TRAD2_UT,,3
Trade,CURR,FXD,FXD,Portfolio,NYSTIR_UT,,10
Trade,CURR,FXD,FXD,Portfolio,SPFX_WASH_UT,,1
Trade,CURR,FXD,FXD,Portfolio,NYLIQ_MTMWASH,,1
Trade,CURR,FXD,FXD,Portfolio,LOFXSP_REVAL_UT,,182
Trade,CURR,FXD,FXD,Portfolio,UTFXSP_REVAL,,27
Trade,CURR,FXD,FXD,Trade Status,dead,,418
Trade,CURR,FXD,FXD,Trade Status,live,,400
Trade,CURR,FXD,FXD,Trade Status,partiallyDead,,1
Trade,CURR,FXD,FXD,Internal/External,external,,503
Trade,CURR,FXD,FXD,Internal/External,internal,,316
Trade,CURR,FXD,FXD,Nominal,300000,,1
Trade,CURR,FXD,FXD,Nominal,1000000,,406
Trade,CURR,FXD,FXD,Nominal,655056.98938818,,1
Trade,CURR,FXD,FXD,Nominal,500005,,3
Trade,CURR,FXD,FXD,Nominal,655151,,1
Trade,CURR,FXD,FXD,Nominal,1000011,,2
Trade,CURR,FXD,FXD,Nominal,1310286.94968553,,1
Trade,CURR,FXD,FXD,Nominal,1310475,,1
Trade,CURR,FXD,FXD,Nominal,80000,,1
Trade,CURR,FXD,FXD,Nominal,100000,,14
Trade,CURR,FXD,FXD,Nominal,1401,,1
Trade,CURR,FXD,FXD,Nominal,,,24
Trade,CURR,FXD,FXD,Nominal,5000000,,6
Trade,CURR,FXD,FXD,Nominal,500000,,22
Trade,CURR,FXD,FXD,Nominal,407167,,1
Trade,CURR,FXD,FXD,Nominal,750000,,2
Trade,CURR,FXD,FXD,Nominal,624250,,1
Trade,CURR,FXD,FXD,Nominal,625510,,3
Trade,CURR,FXD,FXD,Nominal,2000000,,1
Trade,CURR,FXD,FXD,Nominal,900000,,1
Trade,CURR,FXD,FXD,Nominal,656614,,2
Trade,CURR,FXD,FXD,Nominal,656605.38411031,,1
Trade,CURR,FXD,FXD,Nominal,1312522.6407665,,1
Trade,CURR,FXD,FXD,Nominal,1312677,,2
Trade,CURR,FXD,FXD,Nominal,10000,,3
Trade,CURR,FXD,FXD,Nominal,656950.46643017,,1
Trade,CURR,FXD,FXD,Nominal,657045,,1
Trade,CURR,FXD,FXD,Nominal,37.55786664,,1
Trade,CURR,FXD,FXD,Nominal,23.20357469,,1
Trade,CURR,FXD,FXD,Nominal,17.019955,,1
Trade,CURR,FXD,FXD,Nominal,0.09285829,,1
Trade,CURR,FXD,FXD,Nominal,0.40689285,,1
Trade,CURR,FXD,FXD,Nominal,0.32623343,,1
Trade,CURR,FXD,FXD,Nominal,0.73648709,,1
Trade,CURR,FXD,FXD,Nominal,6288.23911099,,1
Trade,CURR,FXD,FXD,Nominal,1.66728563,,1
Trade,CURR,FXD,FXD,Nominal,114.13683965,,1
Trade,CURR,FXD,FXD,Nominal,435.45107271,,1
Trade,CURR,FXD,FXD,Nominal,0.12053445,,1
Trade,CURR,FXD,FXD,Nominal,0.13278204,,1
Trade,CURR,FXD,FXD,Nominal,23985.42993512,,1
Trade,CURR,FXD,FXD,Nominal,0.32034402,,1
Trade,CURR,FXD,FXD,Nominal,3.51133737,,1
Trade,CURR,FXD,FXD,Nominal,2.68610027,,1
Trade,CURR,FXD,FXD,Nominal,0.68921143,,1
Trade,CURR,FXD,FXD,Nominal,0.29913366,,1
Trade,CURR,FXD,FXD,Nominal,3818.06885057,,1
Trade,CURR,FXD,FXD,Nominal,0.04007539,,1
Trade,CURR,FXD,FXD,Nominal,0.22729047,,1
Trade,CURR,FXD,FXD,Nominal,0.50752707,,1
Trade,CURR,FXD,FXD,Nominal,50000,,3
Trade,CURR,FXD,FXD,Nominal,400000,,1
Trade,CURR,FXD,FXD,Nominal,1350,,3
Trade,CURR,FXD,FXD,Nominal,873000,,5
Trade,CURR,FXD,FXD,Nominal,33300,,2
Trade,CURR,FXD,FXD,Nominal,33307,,1
Trade,CURR,FXD,FXD,Nominal,25987.99965669,,1
Trade,CURR,FXD,FXD,Nominal,25987,,1
Trade,CURR,FXD,FXD,Nominal,18785,,1
Trade,CURR,FXD,FXD,Nominal,19999,,2
