Counterparty,Internal/External,Trade Status,Portfolio,User Name,User Group,User Desk,Clearing Eligibility,Typology,Source System,Entity,Trade Insert,Flow Currency,Last Contract Event Action,Payment Netting,Contract Id,Party Name,partyName2
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,AUD,INSERT,true,7330610,RABOBANK,RABOBANK
None,internal,dead,SGSTI_ACU,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,None,INSERT,false,7330609,RABOBANK,RABOBANK
None,internal,dead,SGSTI_ACU,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,None,INSERT,false,7330608,RABOBANK,RABOBANK
None,internal,dead,SGSTI_ACU,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,None,INSERT,false,7330607,RABOBANK,RABOBANK
None,internal,dead,SGSTI_ACU,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,None,INSERT,false,7330606,RABOBANK,RABOBANK
None,external,live,UTLIQ_STLM,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330603,RABOBANK,RABOBANK
None,external,live,HKLIQ_STLM_UT,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330602,RABOBANK,RABOBANK
None,external,live,UTLIQ_STLM,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330599,RABOBANK,RABOBANK
None,external,live,HKLIQ_STLM_UT,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330598,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330597,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330596,RABOBANK,RABOBANK
