Counterparty,Internal/External,Trade Status,Portfolio,User Name,User Group,User Desk,Clearing Eligibility,Typology,Source System,Entity,Trade Insert,Flow Currency,Last Contract Event Action,Payment Netting,Contract Id,Party Name,partyName2
None,internal,live,LOFXSP_TRAD2_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393214,RABOBANK,RABOBANK
None,internal,live,LOFXSP_TRAD2_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393213,RABOBANK,RABOBANK
None,internal,live,LOFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393212,RABOBANK,RABOBANK
None,internal,live,LOFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393211,RABOBANK,RABOBANK
None,internal,live,LOFXSP_STRAT_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393210,RABOBANK,RABOBANK
None,internal,live,LOFXSP_STRAT_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393209,RABOBANK,RABOBANK
None,internal,live,LOFXSP_FIX_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393208,RABOBANK,RABOBANK
None,internal,live,LOFXSP_FIX_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393207,RABOBANK,RABOBANK
None,internal,live,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393206,RABOBANK,RABOBANK
None,internal,live,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7393205,RABOBANK,RABOBANK
