Level1,Level2,Level3,Level4,Level5,Count
MUREXFO,FO,FOD EUROPE,Counterparty,None,2761
MUREXFO,FO,FOD EUROPE,Internal/External,external,787
MUREXFO,FO,FOD EUROPE,Trade Status,dead,2119
MUREXFO,FO,FOD EUROPE,Portfolio,HKFXSP_TRAD1_UT,201
MUREXFO,FO,FOD EUROPE,Clearing Eligibility,False,2761
MUREXFO,FO,FOD EUROPE,Typology,Spot,795
MUREXFO,FO,FOD EUROPE,Source System,Theoretical,2761
MUREXFO,FO,FOD EUROPE,Entity,ASIA_USD,295
MUREXFO,FO,FOD EUROPE,Trade Insert,INSERT,2761
MUREXFO,FO,FOD EUROPE,Flow Currency,AUD,117
MUREXFO,FO,FOD EUROPE,Last Contract Event Action,INSERT,2761
MUREXFO,FO,FOD EUROPE,Payment Netting,True,800
MUREXFO,FO,FOD EUROPE,Contract Id,7330610,1
MUREXFO,FO,FOD EUROPE,Party Name,RABOBANK,2761
MUREXFO,FO,FOD EUROPE,partyName2,RABOBANK,2761
MUREXFO,FO,FOD EUROPE,Internal/External,internal,1974
MUREXFO,FO,FOD EUROPE,Portfolio,SGSTI_ACU,5
MUREXFO,FO,FOD EUROPE,Typology,Loan Deposit,659
MUREXFO,FO,FOD EUROPE,Flow Currency,None,1974
MUREXFO,FO,FOD EUROPE,Payment Netting,False,1961
MUREXFO,FO,FOD EUROPE,Contract Id,7330609,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330608,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330607,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330606,1
MUREXFO,FO,FOD EUROPE,Trade Status,live,528
MUREXFO,FO,FOD EUROPE,Portfolio,UTLIQ_STLM,51
MUREXFO,FO,FOD EUROPE,Entity,EUROPE_EUR,1598
MUREXFO,FO,FOD EUROPE,Flow Currency,EUR,252
MUREXFO,FO,FOD EUROPE,Contract Id,7330603,1
MUREXFO,FO,FOD EUROPE,Portfolio,HKLIQ_STLM_UT,4
MUREXFO,FO,FOD EUROPE,Contract Id,7330602,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330599,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330598,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330597,1
MUREXFO,FO,FOD EUROPE,Flow Currency,JPY,33
MUREXFO,FO,FOD EUROPE,Contract Id,7330596,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330593,1
MUREXFO,FO,FOD EUROPE,Portfolio,LOFXSP_AI_UT,220
MUREXFO,FO,FOD EUROPE,Contract Id,7330592,1
MUREXFO,FO,FOD EUROPE,Portfolio,LOFXSP_EMKT_UT,258
MUREXFO,FO,FOD EUROPE,Contract Id,7330591,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330590,1
MUREXFO,FO,FOD EUROPE,Portfolio,HKLIQ_STLM,10
MUREXFO,FO,FOD EUROPE,Flow Currency,CNH,2
MUREXFO,FO,FOD EUROPE,Contract Id,7330587,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330586,1
MUREXFO,FO,FOD EUROPE,Flow Currency,MXN,25
MUREXFO,FO,FOD EUROPE,Contract Id,7330585,1
MUREXFO,FO,FOD EUROPE,Flow Currency,HKD,22
MUREXFO,FO,FOD EUROPE,Contract Id,7330582,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330581,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330578,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330577,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330576,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330575,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330574,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330573,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330571,1
MUREXFO,FO,FOD EUROPE,Portfolio,SALIQ_STLM_RBF,21
MUREXFO,FO,FOD EUROPE,Typology,SCF,1003
MUREXFO,FO,FOD EUROPE,Entity,NA_CLP,60
MUREXFO,FO,FOD EUROPE,Contract Id,7330570,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330569,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330568,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330567,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330566,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330565,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330564,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330563,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330562,1
MUREXFO,FO,FOD EUROPE,Flow Currency,USD,109
MUREXFO,FO,FOD EUROPE,Contract Id,7330560,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330559,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330558,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330557,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330556,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330555,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330554,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330553,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330552,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330551,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330550,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330549,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330546,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330545,1
MUREXFO,FO,FOD EUROPE,Portfolio,UTFX_WASH,2
MUREXFO,FO,FOD EUROPE,Contract Id,7330544,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330543,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330542,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330541,1
MUREXFO,FO,FOD EUROPE,Contract Id,7330540,1
