Category,Level1,Level2,Level3,Level4,Level5,Count
Murex, ,Type A,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,1
Murex, ,Type A,Queue for failed ANNA requests.,anna_failed_request_queue,anna_is_contract_live,1
Murex, ,Type B,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,1
Murex, ,Type C,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_Purge,2
Murex,Bond Future,Type D,Queue for failed ANNA requests.,anna_failed_request_queue,anna_is_contract_live,6
Murex,Bond Future,Type E,doc_init_RISK_Validation,doc_init_RISK_Validation,doc_init_RISK_Processed,3
Murex,Bond Future,Type E,doc_init_RISK_Validation,doc_init_RISK_Validation,doc_init_RISK_releaseProcessedEntriesTimer,3
Murex,CD,Type F,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,1
Murex,Call Account,Type G,Outbound_ErrMngt_technicalOSP_1,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,3
Murex,Call Account,Type G,Authorisation queue for regulatory exceptions_1,uri_regulatoryExceptionQueue,uri_purge,4
Murex,Call Account,Type G,Authorisation queue to hold the outbound message until inbound communication is received_1,ackNack_confirmation_outbound_waitForAckMessage,ackNack_confirmation_outbound_acked,2
Murex,Call Account,Type G,Authorisation queue for regulatory exceptions_2,uri_regulatoryExceptionQueue,uri_purge,10
Murex,Call Account,Type G,Authorisation queue to hold the outbound message until inbound communication is received_2,ackNack_confirmation_outbound_waitForAckMessage,ackNack_confirmation_outbound_acked,1
Murex,Call Account,Type G,Queue to hold items waiting to be matched_1,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,18
Murex,Call Account,Type G,Authorisation queue to hold the outbound message until inbound communication is received_3,ackNack_confirmation_outbound_waitForAckMessage,ackNack_confirmation_outbound_acked,1
Murex,Call Account,Type G,Queue to hold items waiting to be matched_2,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,21
Murex,Call Account,Type G,Authorisation queue for regulatory exceptions_3,uri_regulatoryExceptionQueue,uri_purge,13
Murex,Call Account,Type G,Authorisation queue to hold the outbound message until inbound communication is received_4,ackNack_confirmation_outbound_waitForAckMessage,ackNack_confirmation_outbound_acked,2
Murex,Call Account,Type G,Queue to hold items waiting to be matched_3,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,11
Murex,Call Account,Type G,Outbound_ErrMngt_technicalOSP_2,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,1
Murex,Call Account,Type H,FO_ErrMngt_functionalOSP,FO_ErrMngt_functionalOSP,FO_ErrMngt_chkforASTIn,19
Murex,FRA,Type I,Outbond_ErrMngt_functionalOSP,Outbond_ErrMngt_functionalOSP,Outbound_ErrMngt_Purge,18
Murex,FRA,Type J,Outbond_ErrMngt_functionalOSP,Outbond_ErrMngt_functionalOSP,Outbound_ErrMngt_Purge,6
Murex,FX Swap,Type K,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,342
Murex,FX Swap,Type B,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,94
Murex,FX Swap,Type F,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,288
Murex,FX Swap,Type L,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,132
Murex,FX Swap,Type M,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,2
Murex,FX Swap,Type M,Authorisation queue to hold the outbound message until inbound communication is received,ackNack_confirmation_outbound_waitForAckMessage,ackNack_confirmation_outbound_acked,2
Murex,FX Swap,Type N,Authorisation queue for regulatory exceptions_1,uri_regulatoryExceptionQueue,uri_purge,3
Murex,FX Swap,Type N,Queue for failed ANNA requests.,anna_failed_request_queue,anna_is_contract_live,2
Murex,FX Swap,Type N,Authorisation queue for regulatory exceptions_2,uri_regulatoryExceptionQueue,uri_purge,2
Murex,FX Swap,Type O,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,30
Murex,FX Swap,Type P,Ops queue to hold unmatched items for discard/retry,mat_outbound_unmatched,mat_outbound_waitForMatchMessage,4
Murex,FX Swap,Type P,Queue to hold items waiting to be matched,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,4
Murex,FX Swap,Type Q,Queue for failed ANNA requests.,anna_failed_request_queue,anna_is_contract_live,24
Murex,FX Swap,Type R,Queue for failed ANNA requests.,anna_failed_request_queue,anna_is_contract_live,71
Murex,FX Swap,Type S,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,166
Murex,FX Swap,Type T,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,2
Murex,FX Swap,Type T,Authorisation queue to hold the outbound message until inbound communication is received,ackNack_confirmation_outbound_waitForAckMessage,ackNack_confirmation_outbound_acked,2
Murex,FX Swap,Type T,Queue to hold items waiting to be matched,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,2
Murex,FX Swap,Type U,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,3
Murex,FX Swap,Type U,Queue for failed ANNA requests.,anna_failed_request_queue,anna_is_contract_live,3
Murex,FX Swap,Type V,Queue for failed ANNA requests.,anna_failed_request_queue,anna_is_contract_live,3
Murex,FX Swap,Type V,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,3
Murex,FX Swap,Type W,Queue to hold items waiting to be matched,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,16
Murex,FX Swap,Type X,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,48
Murex,FX Swap,Type Y,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,40
Murex,FX Swap,Type Z,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,51
Murex,FX Swap,Type AA,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,2
Murex,FX Swap,Type AA,Queue to hold items waiting to be matched,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,2
Murex,FX Swap,Type AB,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,6
Murex,FX Swap,Type AC,doc_init_RISK_Validation,doc_init_RISK_Validation,doc_init_RISK_Processed,2
Murex,FX Swap,Type AC,doc_init_RISK_Validation,doc_init_RISK_Validation,doc_init_RISK_releaseProcessedEntriesTimer,2
Murex,FX Swap,Type AD,doc_init_RISK_Validation_1,doc_init_RISK_Validation,doc_init_RISK_Processed,3
Murex,FX Swap,Type AD,doc_init_RISK_Validation_1,doc_init_RISK_Validation,doc_init_RISK_releaseProcessedEntriesTimer,3
Murex,FX Swap,Type AD,doc_init_RISK_Validation_2,doc_init_RISK_Validation,doc_init_RISK_Processed,1
Murex,FX Swap,Type AD,doc_init_RISK_Validation_2,doc_init_RISK_Validation,doc_init_RISK_releaseProcessedEntriesTimer,1
Murex,FX Swap,Type E,doc_init_RISK_Validation,doc_init_RISK_Validation,doc_init_RISK_Processed,8
Murex,FX Swap,Type E,doc_init_RISK_Validation,doc_init_RISK_Validation,doc_init_RISK_releaseProcessedEntriesTimer,8
Murex,FX Swap,Type AE,doc_init_RISK_Validation_1,doc_init_RISK_Validation,doc_init_RISK_Processed,2
Murex,FX Swap,Type AE,doc_init_RISK_Validation_1,doc_init_RISK_Validation,doc_init_RISK_releaseProcessedEntriesTimer,2
Murex,FX Swap,Type AE,doc_init_RISK_Validation_2,doc_init_RISK_Validation,doc_init_RISK_Processed,1
Murex,FX Swap,Type AE,doc_init_RISK_Validation_2,doc_init_RISK_Validation,doc_init_RISK_releaseProcessedEntriesTimer,1
Murex,FX Swap,Type AF,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,2
Murex,FX Swap,Type AF,Queue to hold items waiting to be matched,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,2
Murex,FX Swap,Type AG,Queue to hold items waiting to be matched,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,13
Murex,FX Swap,Type AH,Authorisation queue for regulatory exceptions,uri_regulatoryExceptionQueue,uri_purge,5
Murex,FX Swap,Type AI,Authorisation queue to hold the outbound message until inbound communication is received,ackNack_confirmation_outbound_waitForAckMessage,ackNack_confirmation_outbound_acked,8
Murex,FX Swap,Type AI,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,4
Murex,FX Swap,Type AI,Queue to hold items waiting to be matched,mat_outbound_waitForMatchMessage,mat_outbound_isContractUpdateRequired,8
Murex,FX Swap,Type AJ,Outbound_ErrMngt_technicalOSP_1,Outbound_ErrMngt_technicalOSP,Outbound_ErrMngt_isRTSAxmlNeeded,1
