Level1,Level2,Level3,Level4,Level5,Count
MUREXFO,FO,FOD EUROPE,Clearing Eligibility,False,9621
MUREXFO,FO,FOD EUROPE,Contract Id,7377785,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377786,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377787,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377788,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377789,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377790,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377791,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377792,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377793,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377794,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377795,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377796,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377797,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377798,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377799,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377800,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377801,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377802,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377803,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377804,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377805,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377806,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377807,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377808,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377809,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377810,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377811,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377812,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377813,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377814,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377815,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377816,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377817,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377818,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377819,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377820,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377821,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377822,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377823,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377824,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377825,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377826,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377827,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377828,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377829,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377830,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377831,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377832,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377833,1
MUREXFO,FO,FOD EUROPE,Contract Id,7377834,1
